h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,id,title
h,1.97858,0.734138,1.97858,0.734138,"{'att': 108, 'def': 17}","{'att': 295, 'def': 17}",7,6,3,0,2.3089000000000004,w,2025-08-16 14:00:00,1,0,0,3,1.244442,82,Tottenham
a,1.28015,1.2475,1.28015,1.2475,"{'att': 292, 'def': 22}","{'att': 188, 'def': 18}",4,8,2,0,1.3643999999999998,w,2025-08-23 11:30:00,1,0,0,3,0.032649999999999846,82,Tottenham
h,0.17067,2.1201,0.17067,2.1201,"{'att': 130, 'def': 25}","{'att': 293, 'def': 41}",4,11,0,1,0.15689999999999998,l,2025-08-30 14:00:00,0,0,1,0,-1.94943,82,Tottenham
a,1.51402,0.793248,1.51402,0.793248,"{'att': 152, 'def': 14}","{'att': 316, 'def': 18}",8,2,3,0,1.9297999999999997,w,2025-09-13 16:30:00,1,0,0,3,0.720772,82,Tottenham
a,1.19181,1.40466,1.19181,1.40466,"{'att': 155, 'def': 32}","{'att': 287, 'def': 25}",14,4,2,2,1.1338,d,2025-09-20 14:00:00,0,1,0,1,-0.21284999999999998,82,Tottenham
h,0.818711,1.15951,0.818711,1.15951,"{'att': 237, 'def': 14}","{'att': 190, 'def': 20}",5,4,1,1,0.9919,d,2025-09-27 19:00:00,0,1,0,1,-0.3407990000000001,82,Tottenham
a,0.688198,1.48051,0.688198,1.48051,"{'att': 285, 'def': 19}","{'att': 195, 'def': 18}",4,6,2,1,0.6734,w,2025-10-04 11:30:00,1,0,0,3,-0.792312,82,Tottenham
h,1.51461,0.352231,1.51461,0.352231,"{'att': 205, 'def': 27}","{'att': 232, 'def': 18}",5,2,1,2,2.3837,l,2025-10-19 13:00:00,0,0,1,0,1.162379,82,Tottenham
a,2.09327,1.4032,2.09327,1.4032,"{'att': 221, 'def': 13}","{'att': 255, 'def': 19}",3,6,3,0,1.9179,w,2025-10-26 15:30:00,1,0,0,3,0.69007,82,Tottenham
h,0.146954,3.34251,0.146954,3.34251,"{'att': 214, 'def': 25}","{'att': 217, 'def': 31}",4,13,0,1,0.0249,l,2025-11-01 17:30:00,0,0,1,0,-3.195556,82,Tottenham
h,1.35532,0.820256,1.35532,0.820256,"{'att': 224, 'def': 29}","{'att': 253, 'def': 19}",5,3,2,2,1.813,d,2025-11-08 12:30:00,0,1,0,1,0.5350640000000001,82,Tottenham
a,0.0300672,2.27827,0.0300672,2.27827,"{'att': 242, 'def': 18}","{'att': 214, 'def': 34}",2,13,1,4,0.0774,l,2025-11-23 16:30:00,0,0,1,0,-2.2482028,82,Tottenham
h,1.04396,0.494736,1.04396,0.494736,"{'att': 194, 'def': 29}","{'att': 289, 'def': 23}",3,5,1,2,1.9130999999999998,l,2025-11-29 20:00:00,0,0,1,0,0.5492239999999999,82,Tottenham
