h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,id,title
h,0.519436,2.29903,0.519436,2.29903,"{'att': 351, 'def': 29}","{'att': 236, 'def': 20}",4,8,0,4,0.2391,l,2025-08-16 16:30:00,0,0,1,0,-1.7795940000000001,229,Wolverhampton Wanderers
a,0.373367,1.78462,0.373367,1.78462,"{'att': 219, 'def': 21}","{'att': 147, 'def': 25}",3,6,0,1,0.3052,l,2025-08-23 14:00:00,0,0,1,0,-1.411253,229,Wolverhampton Wanderers
h,0.943257,2.03791,0.943257,2.03791,"{'att': 158, 'def': 27}","{'att': 311, 'def': 26}",5,11,2,3,0.5699,l,2025-08-30 14:00:00,0,0,1,0,-1.094653,229,Wolverhampton Wanderers
a,0.375942,1.19186,0.375942,1.19186,"{'att': 217, 'def': 24}","{'att': 169, 'def': 16}",3,12,0,1,0.5596,l,2025-09-13 14:00:00,0,0,1,0,-0.8159179999999999,229,Wolverhampton Wanderers
h,1.5661,0.456988,1.5661,0.456988,"{'att': 274, 'def': 25}","{'att': 277, 'def': 21}",10,7,1,3,2.2899999999999996,l,2025-09-20 14:00:00,0,0,1,0,1.109112,229,Wolverhampton Wanderers
a,1.15951,0.818711,1.15951,0.818711,"{'att': 190, 'def': 20}","{'att': 237, 'def': 14}",4,5,1,1,1.6705,d,2025-09-27 19:00:00,0,1,0,1,0.3407990000000001,229,Wolverhampton Wanderers
h,0.369404,1.39158,0.369404,1.39158,"{'att': 285, 'def': 21}","{'att': 216, 'def': 22}",2,2,1,1,0.4865,d,2025-10-05 13:00:00,0,1,0,1,-1.022176,229,Wolverhampton Wanderers
a,0.676323,1.02481,0.676323,1.02481,"{'att': 157, 'def': 30}","{'att': 255, 'def': 7}",11,6,0,2,0.9793000000000001,l,2025-10-18 14:00:00,0,0,1,0,-0.348487,229,Wolverhampton Wanderers
h,2.58132,1.54544,1.82015,1.54544,"{'att': 213, 'def': 24}","{'att': 262, 'def': 18}",10,5,2,3,2.141,l,2025-10-26 13:00:00,0,0,1,0,0.27471,229,Wolverhampton Wanderers
a,0.209934,1.91207,0.209934,1.91207,"{'att': 341, 'def': 16}","{'att': 154, 'def': 12}",4,11,0,3,0.1861,l,2025-11-01 15:00:00,0,0,1,0,-1.7021359999999999,229,Wolverhampton Wanderers
a,0.111462,3.98342,0.111462,3.98342,"{'att': 306, 'def': 15}","{'att': 198, 'def': 19}",1,13,0,3,0.008,l,2025-11-08 20:00:00,0,0,1,0,-3.8719580000000002,229,Wolverhampton Wanderers
h,1.66409,1.44933,1.66409,1.44933,"{'att': 246, 'def': 23}","{'att': 251, 'def': 25}",10,11,0,2,1.569,l,2025-11-22 15:00:00,0,0,1,0,0.21476000000000006,229,Wolverhampton Wanderers
a,0.692588,1.15486,0.692588,1.15486,"{'att': 215, 'def': 21}","{'att': 234, 'def': 24}",3,5,0,1,0.9275,l,2025-11-30 14:05:00,0,0,1,0,-0.462272,229,Wolverhampton Wanderers
h,1.02461,1.12389,1.02461,1.12389,"{'att': 211, 'def': 23}","{'att': 255, 'def': 19}",2,7,0,1,1.2841,l,2025-12-03 19:30:00,0,0,1,0,-0.09928000000000003,229,Wolverhampton Wanderers
h,0.262147,4.04708,0.262147,3.28591,"{'att': 298, 'def': 37}","{'att': 110, 'def': 24}",6,10,1,4,0.015099999999999999,l,2025-12-08 20:00:00,0,0,1,0,-3.0237629999999998,229,Wolverhampton Wanderers
a,0.61997,1.61796,0.61997,1.61796,"{'att': 228, 'def': 15}","{'att': 113, 'def': 12}",3,12,1,2,0.5785,l,2025-12-13 20:00:00,0,0,1,0,-0.99799,229,Wolverhampton Wanderers
h,1.26823,1.56309,0.507064,1.56309,"{'att': 293, 'def': 22}","{'att': 187, 'def': 30}",6,9,0,2,1.13,l,2025-12-20 15:00:00,0,0,1,0,-1.0560260000000001,229,Wolverhampton Wanderers
a,0.780664,1.56502,0.780664,1.56502,"{'att': 295, 'def': 22}","{'att': 171, 'def': 23}",2,12,1,2,0.6966,l,2025-12-27 15:00:00,0,0,1,0,-0.784356,229,Wolverhampton Wanderers
a,1.21784,1.13306,1.21784,1.13306,"{'att': 296, 'def': 17}","{'att': 207, 'def': 27}",7,6,1,1,1.4411,d,2025-12-30 20:15:00,0,1,0,1,0.08478000000000008,229,Wolverhampton Wanderers
h,2.23925,0.235678,1.47808,0.235678,"{'att': 336, 'def': 12}","{'att': 167, 'def': 32}",2,6,3,0,2.8108000000000004,w,2026-01-03 15:00:00,1,0,0,3,1.242402,229,Wolverhampton Wanderers
a,0.71329,1.63321,0.71329,1.63321,"{'att': 200, 'def': 19}","{'att': 245, 'def': 24}",5,2,1,1,0.6043000000000001,d,2026-01-07 19:30:00,0,1,0,1,-0.9199200000000001,229,Wolverhampton Wanderers
h,0.390216,0.813313,0.390216,0.813313,"{'att': 325, 'def': 13}","{'att': 152, 'def': 20}",5,7,0,0,0.8858999999999999,d,2026-01-18 14:00:00,0,1,0,1,-0.42309699999999995,229,Wolverhampton Wanderers
