element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
521,4,5,2,True,2025-08-17T13:00:00Z,3,1,1,False,90,0,0,0,1,0,0,0,0,0,0,0,11,1.4,4.2,1.0,0.7,5,4,1,10,1,0.02,0.01,0.03,1.50,50,0,4944,0,0
521,15,8,2,False,2025-08-24T13:00:00Z,1,1,2,False,87,0,0,0,1,0,0,0,0,0,0,0,14,9.4,3.3,1.0,1.4,4,3,1,8,1,0.01,0.01,0.02,1.10,50,-307,6321,529,836
521,27,19,4,True,2025-08-31T13:00:00Z,0,3,3,False,88,0,0,0,2,0,0,0,0,0,0,0,10,7.6,5.3,0.0,1.3,7,5,2,14,1,0.00,0.04,0.04,1.46,50,-231,6849,673,904
521,31,1,2,False,2025-09-13T11:30:00Z,3,0,4,False,72,0,0,0,2,0,0,0,0,0,0,0,16,7.8,4.5,0.0,1.2,2,2,3,7,1,0.00,0.01,0.01,1.75,50,17,7508,991,974
521,44,3,1,False,2025-09-20T14:00:00Z,1,1,5,False,14,0,0,0,0,0,0,0,0,0,0,0,2,7.0,1.7,0.0,0.9,1,1,0,2,0,0.00,0.01,0.01,0.17,50,339,8229,1059,720
521,59,17,0,True,2025-09-27T16:30:00Z,0,1,6,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,-281,8154,538,819
521,69,15,0,False,2025-10-05T13:00:00Z,2,0,7,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,-536,7787,170,706
521,77,7,1,True,2025-10-18T11:30:00Z,0,3,8,False,90,0,0,0,3,0,0,0,1,0,0,0,13,26.4,16.0,34.0,7.6,3,2,4,9,1,0.25,0.03,0.28,1.67,49,-537,7537,203,740
521,83,4,0,False,2025-10-26T14:00:00Z,2,0,9,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,49,-213,7440,187,400
521,97,14,1,True,2025-11-01T15:00:00Z,2,2,10,False,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.10,49,-323,7194,87,410
