element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
724,35,8,1,False,2025-09-13T14:00:00Z,0,0,4,False,6,0,0,0,0,0,0,0,0,0,0,0,4,1.0,0.0,0.0,0.1,0,1,0,0,0,0.00,0.00,0.00,0.38,45,586,908,717,131
724,48,2,1,True,2025-09-21T13:00:00Z,1,1,5,False,9,0,0,0,0,0,0,0,0,0,0,0,4,6.0,0.0,0.0,0.6,2,0,0,2,0,0.00,0.00,0.00,0.25,45,129,1279,336,207
724,59,16,1,False,2025-09-27T16:30:00Z,0,1,6,False,31,0,0,0,0,0,0,0,0,0,0,0,3,4.0,0.6,19.0,2.4,0,3,0,0,0,0.27,0.05,0.32,1.23,45,63,1523,277,214
724,68,14,1,False,2025-10-04T14:00:00Z,2,0,7,False,11,0,0,0,0,0,0,0,0,0,0,0,7,4.2,0.0,0.0,0.4,0,0,2,2,0,0.00,0.00,0.00,0.39,45,107,1787,318,211
724,78,20,1,True,2025-10-18T14:00:00Z,2,0,8,False,14,0,0,0,0,0,0,0,0,0,0,0,5,3.2,0.3,0.0,0.4,1,1,1,2,0,0.00,0.00,0.00,0.48,45,149,2253,362,213
724,85,7,2,False,2025-10-25T14:00:00Z,1,2,9,False,90,0,0,0,1,0,0,0,0,0,0,0,9,15.6,3.8,2.0,2.1,5,4,0,5,1,0.03,0.18,0.21,0.90,45,-73,2302,146,219
724,98,9,2,True,2025-11-03T20:00:00Z,1,1,10,False,90,0,0,0,1,0,0,0,0,0,0,0,16,22.0,2.5,1.0,2.6,5,7,2,7,1,0.03,0.02,0.05,0.86,45,299,2891,518,219
724,108,1,1,True,2025-11-08T17:30:00Z,2,2,11,False,86,0,0,0,2,0,0,0,0,0,0,0,8,17.8,11.2,0.0,2.9,4,2,3,7,1,0.00,0.05,0.05,1.38,45,-16,2984,230,246
724,115,10,2,False,2025-11-22T15:00:00Z,1,0,12,False,90,0,0,0,1,0,0,0,0,0,0,0,8,11.0,1.0,2.0,1.4,3,5,3,6,1,0.00,0.00,0.00,2.16,45,271,3561,475,204
724,128,4,1,True,2025-11-29T15:00:00Z,3,2,13,False,4,0,0,0,0,0,0,0,0,0,0,0,3,1.2,0.0,0.0,0.1,1,0,0,1,0,0.00,0.00,0.00,0.03,45,30,3704,250,220
724,137,12,1,False,2025-12-03T20:15:00Z,1,1,14,False,11,0,0,0,1,0,0,0,0,0,0,0,-1,2.2,0.2,2.0,0.4,2,1,0,2,0,0.00,0.00,0.00,0.55,45,-61,3664,154,215
724,147,13,1,False,2025-12-06T15:00:00Z,3,0,15,False,90,0,0,0,3,0,0,0,0,0,0,0,12,17.4,11.1,0.0,2.9,5,3,2,7,1,0.00,0.01,0.01,2.42,45,-51,3722,181,232
724,159,15,0,True,2025-12-14T14:00:00Z,1,0,16,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,61,3916,358,297
724,163,6,6,False,2025-12-20T15:00:00Z,0,0,17,False,90,0,0,1,0,0,0,0,0,0,0,0,21,11.0,13.3,0.0,2.4,1,4,2,3,1,0.00,0.04,0.04,1.13,45,98,4159,327,229
724,179,11,2,True,2025-12-28T14:00:00Z,1,1,18,False,90,0,0,0,1,0,0,0,0,0,0,0,12,15.4,2.6,0.0,1.8,4,1,2,6,1,0.00,0.02,0.02,2.17,45,461,4961,626,165
