element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
353,10,9,3,True,2025-08-18T19:00:00Z,1,0,1,False,77,0,0,1,0,0,0,0,0,0,0,0,6,6.2,15.7,11.0,3.3,1,1,0,2,1,0.14,0.05,0.19,0.28,55,0,49896,0,0
353,11,1,2,False,2025-08-23T16:30:00Z,5,0,2,False,65,0,0,0,4,0,0,0,0,0,0,0,9,1.6,0.3,9.0,1.1,0,4,0,4,1,0.07,0.00,0.07,2.01,55,-5846,47497,1569,7415
353,24,15,1,True,2025-08-30T16:30:00Z,0,0,3,False,59,0,0,0,0,0,0,0,0,0,0,0,5,4.0,15.1,9.0,2.8,0,2,1,3,1,0.22,0.12,0.34,0.39,54,-5736,42940,1484,7220
353,37,10,1,False,2025-09-13T14:00:00Z,1,0,4,False,11,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.54,54,-5890,38186,1339,7229
353,50,20,0,False,2025-09-20T14:00:00Z,1,3,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,53,-10034,28227,108,10142
353,56,4,0,True,2025-09-27T14:00:00Z,2,2,6,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,53,-6645,21779,49,6694
353,67,18,0,True,2025-10-04T11:30:00Z,1,2,7,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,53,-2731,19312,209,2940
353,72,3,1,False,2025-10-18T14:00:00Z,2,0,8,False,24,0,0,0,1,0,0,0,0,0,0,0,7,10.2,28.6,8.0,4.7,0,0,1,1,0,0.00,0.20,0.20,0.03,53,-3002,16373,75,3077
353,87,19,1,True,2025-10-24T19:00:00Z,2,1,9,False,3,0,0,0,1,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.07,53,-10,16610,676,686
353,91,6,1,False,2025-11-01T15:00:00Z,3,0,10,False,29,0,0,0,2,0,0,0,0,0,0,0,5,2.4,13.1,0.0,1.6,0,1,0,1,0,0.00,0.15,0.15,1.38,53,-458,16251,443,901
353,107,16,1,False,2025-11-09T14:00:00Z,3,1,11,False,16,0,0,0,1,0,0,0,0,0,0,0,3,2.0,10.3,10.0,2.2,0,2,0,2,0,0.06,0.01,0.07,0.84,53,-384,16008,310,694
